5
100
0.060589,0.185959
0.004935,0.183026
0.006619,0.171790
0.094958,0.107016
0.124358,0.176905
0.088177,0.106231
0.072850,0.083761
0.123919,0.196947
0.002943,0.110905
0.179967,0.022925
0.106013,0.082512
0.142490,0.137557
0.043277,0.097819
0.128991,0.121528
0.161318,0.033652
0.157526,0.021907
0.019612,0.162461
0.004933,0.026231
0.134251,0.099891
0.133247,0.058609
0.276796,0.221424
0.364840,0.349646
0.305185,0.288759
0.346593,0.308128
0.399665,0.326560
0.331052,0.305678
0.209072,0.273542
0.243235,0.252349
0.371361,0.372226
0.373877,0.332680
0.205879,0.331402
0.354587,0.225491
0.293863,0.359520
0.251722,0.228114
0.259410,0.384969
0.286723,0.336206
0.206393,0.251563
0.285852,0.311577
0.340323,0.232445
0.219705,0.339987
0.559005,0.550757
0.445665,0.568077
0.424299,0.488900
0.420426,0.595660
0.461126,0.594302
0.528340,0.467005
0.525705,0.482927
0.492496,0.419568
0.442446,0.544218
0.447682,0.501857
0.529186,0.534405
0.438063,0.535579
0.585968,0.523915
0.447156,0.526291
0.556360,0.466861
0.466279,0.515365
0.417617,0.511943
0.483441,0.441916
0.400843,0.503867
0.437577,0.461970
0.698169,0.765917
0.728975,0.623874
0.648843,0.621471
0.643442,0.691290
0.765689,0.691124
0.793146,0.694875
0.625529,0.631209
0.630454,0.611498
0.755123,0.677609
0.737789,0.711483
0.744470,0.604067
0.626848,0.762087
0.716011,0.710289
0.604004,0.716854
0.614157,0.641580
0.778824,0.712326
0.607497,0.707799
0.736200,0.656340
0.729271,0.779642
0.747629,0.694959
0.870766,0.940776
0.989834,0.896295
0.971984,0.820288
0.907793,0.927108
0.897897,0.845582
0.838591,0.842367
0.849649,0.865439
0.804455,0.965660
0.975729,0.808458
0.882515,0.989885
0.850038,0.861339
0.902211,0.857535
0.969138,0.838411
0.913875,0.898409
0.818053,0.861504
0.993368,0.888819
0.802280,0.983202
0.985115,0.974264
0.803490,0.892908
0.901372,0.901388
